IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,Grain_Size,PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),Hardness,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),Yield_Strength,Tensile_Strength,PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
177,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,7.0,,8.0,476.0,T,25.0,249.0,621.0,41.0,,,220.0,,,
177,C0.02 Co1 Cr1 Fe1 Mn1 Ni1,FCC+Sec.,WROUGHT,other,4.0,,8.0,476.0,T,25.0,581.0,857.0,28.0,,,,,,
196,Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,20.0,,8.2,476.0,T,25.0,190.0,453.0,70.0,,,226.0,,,
196,Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,FCC,ANNEAL,FCC,289.7,,7.8,476.0,T,25.0,210.0,503.0,70.0,,,214.0,,,
196,Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,FCC+L12+Sec.,WROUGHT,other,15.7,,7.8,476.0,T,25.0,645.0,1094.0,39.0,,,,,,
196,Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,FCC+L12+Sec.,WROUGHT,other,2.8,,7.8,476.0,T,25.0,1005.0,1273.0,17.0,,,,,,
201,Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,,ANNEAL,other,20.0,,7.7,168.0,,,822.0,1004.0,,,,,,,
201,Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,,ANNEAL,other,20.0,,7.7,328.0,,,822.0,1004.0,,,,,,,
167,Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,,ANNEAL,other,20.0,,7.7,206.0,,,822.0,1004.0,,,,,,,
201,Al0.229 Co0.486 Cr0.4 Cu0.229 Fe0.486 Mo0.003 Ni1 Ti0.029 W0.003,,CAST,other,20.0,,7.7,231.0,,,822.0,1004.0,,,,,,,
201,Al0.229 Co0.486 Cr0.4 Cu0.229 Fe0.486 Mo0.003 Ni1 Ti0.029 W0.003,,ANNEAL,other,20.0,,7.7,178.0,,,822.0,1004.0,,,,,,,
201,Al0.229 Co0.486 Cr0.4 Cu0.229 Fe0.486 Mo0.003 Ni1 Ti0.029 W0.003,,ANNEAL,other,20.0,,7.7,343.0,,,822.0,1004.0,,,,,,,
167,Al0.229 Co0.486 Cr0.4 Cu0.229 Fe0.486 Mo0.003 Ni1 Ti0.029 W0.003,,ANNEAL,other,20.0,,7.7,171.0,,,822.0,1004.0,,,,,,,
175,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,,CAST,other,20.0,,7.4,343.0,,,822.0,1004.0,,,,,,,
175,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,,ANNEAL,other,20.0,,7.4,341.0,,,822.0,1004.0,,,,,,,
175,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC+L12+Sec.,ANNEAL,other,20.0,,7.4,345.0,T,25.0,568.0,786.0,12.0,,,,,,
175,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC+L12+Sec.,ANNEAL,other,20.0,,7.4,345.0,T,25.0,596.0,1039.0,20.0,,,,,,
175,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC+L12+Sec.,ANNEAL,other,20.0,,7.4,345.0,T,700.0,487.0,702.0,18.0,,,,,,
175,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC+L12+Sec.,ANNEAL,other,20.0,,7.4,345.0,T,700.0,486.0,624.0,11.0,,,,,,
193,Al0.885 Cr1 Fe1 Ni1,BCC+B2,CAST,other,20.0,,6.4,476.0,C,25.0,770.0,1004.0,37.1,,,,,,
193,Al1 Cr1 Fe1 Ni1,BCC+B2,CAST,other,20.0,,6.3,476.0,C,25.0,843.2,1004.0,34.6,,,,,,
193,Al1 Cr0.889 Fe0.889 Ni0.889,BCC+B2,CAST,other,20.0,,6.1,476.0,C,25.0,1044.0,1004.0,27.1,,,,,,
193,Al1 Cr0.828 Fe0.828 Ni0.828,BCC+B2,CAST,other,20.0,,6.0,476.0,C,25.0,906.8,1004.0,31.4,,,,,,
193,Al1 Cr0.767 Fe0.767 Ni0.767,BCC+B2,CAST,other,20.0,,5.9,476.0,C,25.0,1122.8,1004.0,24.7,,,,,,
191,Al0.5 Cr0.5 Fe1 Ni1,BCC+B2,CAST,other,20.0,,6.9,476.0,C,25.0,822.0,1004.0,17.0,,,,,,
168,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2,CAST,other,20.0,,6.7,476.0,C,25.0,822.0,1004.0,22.7,,,,,,
182,Al0.545 Cr0.545 Fe0.515 Ni1 Ti0.273,BCC+B2+L12,CAST,other,20.0,,6.4,476.0,C,25.0,822.0,1004.0,16.3,,,,,,
